mean_distance,std_distance,range_distance,rate_of_change,presence_duration,label
51.5,0.5,1,0.1111111111111111,2.0,sedentary
54.4,3.0724582991474434,7,1.3333333333333333,2.0,sedentary
54.8,2.821347195933177,7,1.4444444444444444,2.0,sedentary
52.4,0.66332495807108,2,0.2222222222222222,2.0,sedentary
52.2,0.4,1,0.2222222222222222,2.0,sedentary
52.2,0.4,1,0.2222222222222222,2.0,sedentary
52.0,0.0,0,0.0,2.0,sedentary
52.0,0.0,0,0.0,2.0,sedentary
52.0,0.4472135954999579,2,0.4444444444444444,2.0,sedentary
51.8,1.2489995996796797,4,1.1111111111111112,2.0,sedentary
51.3,1.1874342087037917,4,0.6666666666666666,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.3,0.45825756949558405,1,0.3333333333333333,2.0,sedentary
52.1,0.7,2,0.6666666666666666,2.0,sedentary
52.6,0.4898979485566356,1,0.3333333333333333,2.0,sedentary
52.3,0.45825756949558394,1,0.1111111111111111,2.0,sedentary
51.9,0.3,1,0.2222222222222222,2.0,sedentary
51.8,0.7483314773547882,2,0.5555555555555556,2.0,sedentary
51.7,0.7810249675906654,2,0.4444444444444444,2.0,sedentary
51.3,0.7810249675906654,2,1.0,2.0,sedentary
51.1,0.8306623862918074,2,1.4444444444444444,2.0,sedentary
51.0,0.7745966692414834,2,1.1111111111111112,2.0,sedentary
51.0,1.1832159566199232,4,1.4444444444444444,2.0,sedentary
50.6,1.2,4,0.7777777777777778,2.0,sedentary
50.3,0.45825756949558405,1,0.1111111111111111,2.0,sedentary
51.1,0.7,2,0.4444444444444444,2.0,sedentary
51.0,0.7745966692414834,2,0.6666666666666666,2.0,sedentary
51.4,2.3323807579381204,6,0.8888888888888888,2.0,sedentary
52.1,2.1656407827707715,6,1.4444444444444444,2.0,sedentary
51.7,1.345362404707371,5,1.1111111111111112,2.0,sedentary
51.3,1.3453624047073711,5,1.1111111111111112,2.0,sedentary
50.9,0.5385164807134504,2,0.5555555555555556,2.0,sedentary
50.9,0.3,1,0.2222222222222222,2.0,sedentary
50.9,0.3,1,0.2222222222222222,2.0,sedentary
50.9,0.3,1,0.1111111111111111,2.0,sedentary
50.7,0.45825756949558394,1,0.2222222222222222,2.0,sedentary
50.7,0.45825756949558394,1,0.1111111111111111,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
50.9,0.3,1,0.2222222222222222,2.0,sedentary
50.9,0.3,1,0.2222222222222222,2.0,sedentary
50.5,0.5,1,0.1111111111111111,2.0,sedentary
50.0,0.0,0,0.0,2.0,sedentary
50.5,0.5,1,0.1111111111111111,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
50.9,0.3,1,0.2222222222222222,2.0,sedentary
51.5,1.91049731745428,7,1.6666666666666667,2.0,sedentary
52.7,1.9,7,1.6666666666666667,2.0,sedentary
53.2,0.6,2,0.8888888888888888,2.0,sedentary
52.6,0.7999999999999999,3,0.4444444444444444,2.0,sedentary
51.6,0.66332495807108,2,0.4444444444444444,2.0,sedentary
51.2,0.4,1,0.4444444444444444,2.0,sedentary
51.2,0.4,1,0.4444444444444444,2.0,sedentary
51.5,0.5,1,0.3333333333333333,2.0,sedentary
51.9,0.3,1,0.1111111111111111,2.0,sedentary
51.8,0.4,1,0.4444444444444444,2.0,sedentary
52.2,1.32664991614216,5,1.2222222222222223,2.0,sedentary
52.4,1.2,4,0.4444444444444444,2.0,sedentary
51.8,0.4,1,0.1111111111111111,2.0,sedentary
51.8,0.4,1,0.2222222222222222,2.0,sedentary
52.2,0.4,1,0.4444444444444444,2.0,sedentary
52.6,0.66332495807108,2,0.6666666666666666,2.0,sedentary
53.5,1.02469507659596,3,0.6666666666666666,2.0,sedentary
53.8,0.7483314773547882,2,0.4444444444444444,2.0,sedentary
53.6,0.4898979485566356,1,0.2222222222222222,2.0,sedentary
53.6,0.4898979485566356,1,0.2222222222222222,2.0,sedentary
53.2,0.4,1,0.1111111111111111,2.0,sedentary
53.1,0.3,1,0.2222222222222222,2.0,sedentary
53.2,0.4,1,0.4444444444444444,2.0,sedentary
53.1,0.3,1,0.1111111111111111,2.0,sedentary
53.0,0.0,0,0.0,2.0,sedentary
53.1,0.3,1,0.2222222222222222,2.0,sedentary
52.9,0.5385164807134504,2,0.4444444444444444,2.0,sedentary
52.3,0.45825756949558394,1,0.3333333333333333,2.0,sedentary
51.6,0.4898979485566356,1,0.1111111111111111,2.0,sedentary
51.2,0.4,1,0.2222222222222222,2.0,sedentary
51.2,0.4,1,0.2222222222222222,2.0,sedentary
51.1,0.3,1,0.1111111111111111,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.2,0.4,1,0.1111111111111111,2.0,sedentary
52.0,0.7745966692414834,2,0.2222222222222222,2.0,sedentary
52.5,0.6708203932499369,2,0.3333333333333333,2.0,sedentary
51.7,0.9,2,0.2222222222222222,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.3,0.45825756949558405,1,0.3333333333333333,2.0,sedentary
52.1,0.7,2,0.5555555555555556,2.0,sedentary
52.8,0.4,1,0.3333333333333333,2.0,sedentary
53.0,0.0,0,0.0,2.0,sedentary
52.7,0.45825756949558405,1,0.1111111111111111,2.0,sedentary
52.7,0.6403124237432849,2,0.3333333333333333,2.0,sedentary
53.6,1.019803902718557,4,0.6666666666666666,2.0,sedentary
54.1,1.044030650891055,4,0.8888888888888888,2.0,sedentary
53.1,1.2206555615733703,3,0.5555555555555556,2.0,sedentary
51.8,0.6,2,0.4444444444444444,2.0,sedentary
52.2,0.9797958971132712,3,0.3333333333333333,2.0,sedentary
53.9,1.1357816691600546,4,0.6666666666666666,2.0,sedentary
54.4,0.8,3,0.8888888888888888,2.0,sedentary
52.9,1.2206555615733703,4,0.7777777777777778,2.0,sedentary
51.8,1.0770329614269007,4,1.2222222222222223,2.0,sedentary
51.5,1.2041594578792296,4,1.3333333333333333,2.0,sedentary
51.8,1.2489995996796797,4,1.1111111111111112,2.0,sedentary
51.6,1.4282856857085702,4,0.8888888888888888,2.0,sedentary
50.8,0.7483314773547882,2,0.5555555555555556,2.0,sedentary
50.7,0.45825756949558405,1,0.3333333333333333,2.0,sedentary
51.5,2.29128784747792,6,1.4444444444444444,2.0,sedentary
51.2,2.4,6,1.3333333333333333,2.0,sedentary
50.2,0.4,1,0.1111111111111111,2.0,sedentary
52.5,2.202271554554524,6,0.8888888888888888,2.0,sedentary
53.6,1.2,4,0.7777777777777778,2.0,sedentary
52.3,0.45825756949558394,1,0.3333333333333333,2.0,sedentary
52.5,0.6708203932499369,2,0.3333333333333333,2.0,sedentary
53.1,0.5385164807134504,2,0.5555555555555556,2.0,sedentary
53.1,0.3,1,0.2222222222222222,2.0,sedentary
53.1,0.5385164807134504,2,0.5555555555555556,2.0,sedentary
52.3,1.0999999999999999,3,1.0,2.0,sedentary
52.1,0.8306623862918073,2,0.3333333333333333,2.0,sedentary
52.3,0.7810249675906654,2,0.5555555555555556,2.0,sedentary
47.8,3.0265491900843116,9,1.7777777777777777,2.0,active
49.8,4.512205669071391,13,2.2222222222222223,2.0,active
53.8,1.4000000000000001,4,1.4444444444444444,2.0,active
45.9,13.597426227047531,35,17.666666666666668,2.0,active
33.1,12.095040305844375,35,14.555555555555555,2.0,active
29.1,2.7,10,2.4444444444444446,2.0,active
27.9,3.8845849199110063,15,3.0,2.0,active
39.6,13.99428454762872,34,5.444444444444445,2.0,active
51.7,2.368543856465402,8,1.8888888888888888,2.0,active
53.2,3.9949968710876362,11,1.7777777777777777,2.0,active
55.3,2.4515301344262523,8,1.8888888888888888,2.0,active
57.2,3.5721142198983507,10,2.3333333333333335,2.0,active
59.2,3.1559467676119,9,4.0,2.0,active
57.6,2.727636339397171,9,3.0,2.0,active
57.0,1.5491933384829668,4,1.3333333333333333,2.0,active
45.8,17.00470523119998,44,13.555555555555555,2.0,active
45.5,16.853782958137323,44,13.88888888888889,2.0,active
49.0,14.845874847916509,41,13.777777777777779,2.0,active
48.4,14.472042012100435,38,16.88888888888889,2.0,active
51.9,12.0287156421623,43,10.11111111111111,2.0,active
49.1,15.371727293964073,43,17.444444444444443,2.0,active
52.9,10.737318100903966,38,5.777777777777778,2.0,active
55.9,1.57797338380595,6,1.6666666666666667,2.0,active
53.9,1.9723082923316018,6,1.2222222222222223,2.0,active
52.5,2.0615528128088303,7,1.8888888888888888,2.0,active
53.3,2.3685438564654024,7,2.0,2.0,active
53.1,1.57797338380595,5,1.4444444444444444,2.0,active
51.8,1.16619037896906,3,1.3333333333333333,2.0,active
50.9,1.0440306508910548,3,1.0,2.0,active
51.2,0.9797958971132712,3,0.5555555555555556,2.0,active
52.1,1.1357816691600546,4,1.1111111111111112,2.0,active
50.9,1.9209372712298547,7,1.3333333333333333,2.0,active
47.9,1.9209372712298545,7,1.4444444444444444,2.0,active
49.5,4.153311931459037,14,1.8888888888888888,2.0,active
62.0,10.334408546211051,27,3.2222222222222223,2.0,active
68.8,5.1536394906900505,13,2.888888888888889,2.0,active
61.0,6.0332412515993425,20,2.5555555555555554,2.0,active
53.2,3.6823905279043943,10,2.0,2.0,active
48.1,3.5623026261113755,14,2.2222222222222223,2.0,active
45.4,1.4966629547095767,5,1.5555555555555556,2.0,active
48.5,3.8535697735995385,11,1.4444444444444444,2.0,active
53.0,2.1908902300206643,7,1.2222222222222223,2.0,active
55.7,2.368543856465402,8,1.2222222222222223,2.0,active
57.6,2.2449944320643644,7,1.8888888888888888,2.0,active
56.3,2.5709920264364885,9,2.4444444444444446,2.0,active
56.7,2.6476404589747453,8,2.2222222222222223,2.0,active
58.3,1.5524174696260025,4,2.111111111111111,2.0,active
53.5,5.426785420486054,15,2.0,2.0,active
48.6,4.8,15,4.444444444444445,2.0,active
52.2,5.844655678480984,19,3.4444444444444446,2.0,active
56.1,1.9723082923316018,7,1.5555555555555556,2.0,active
54.4,2.0591260281974,6,1.1111111111111112,2.0,active
51.6,3.1048349392520045,10,2.7777777777777777,2.0,active
49.6,2.4576411454889016,10,3.111111111111111,2.0,active
48.8,0.6,2,0.7777777777777778,2.0,active
49.6,1.624807680927192,6,1.5555555555555556,2.0,active
44.2,10.037928073063684,30,5.444444444444445,2.0,active
33.4,8.811356308764276,27,4.444444444444445,2.0,active
28.7,2.758622844826744,10,2.5555555555555554,2.0,active
29.7,7.1700767080973415,24,7.555555555555555,2.0,active
28.2,7.0823724838503095,24,5.666666666666667,2.0,active
28.9,6.564297372910524,23,5.222222222222222,2.0,active
31.2,5.7236352085016735,21,5.222222222222222,2.0,active
35.9,7.942921376924235,19,4.333333333333333,2.0,active
39.1,10.034440691936945,29,12.0,2.0,active
45.2,12.023310692151309,33,9.555555555555555,2.0,active
54.0,1.5491933384829668,5,1.4444444444444444,2.0,active
53.5,1.5652475842498528,4,1.4444444444444444,2.0,active
54.3,2.238302928559939,7,2.7777777777777777,2.0,active
56.4,1.9595917942265422,6,2.4444444444444446,2.0,active
57.4,2.2891046284519194,7,1.5555555555555556,2.0,active
57.6,2.33238075793812,7,2.111111111111111,2.0,active
54.6,5.834380858325929,22,3.7777777777777777,2.0,active
50.3,7.975587752636166,24,7.111111111111111,2.0,active
45.3,10.705606008068855,30,7.333333333333333,2.0,active
48.5,11.218288639538564,37,10.0,2.0,active
53.9,5.412023651093923,18,7.444444444444445,2.0,active
51.2,9.008884503644166,29,8.777777777777779,2.0,active
53.1,8.960468737739115,29,5.777777777777778,2.0,active
54.0,3.255764119219941,13,2.6666666666666665,2.0,active
50.2,3.0265491900843116,9,2.2222222222222223,2.0,active
50.6,3.2310988842807027,10,2.111111111111111,2.0,active
48.7,4.539823785126467,12,2.111111111111111,2.0,active
45.3,3.0675723300355937,10,2.0,2.0,active
44.1,3.477067730142742,11,1.8888888888888888,2.0,active
44.9,4.90815647672321,16,4.666666666666667,2.0,active
50.9,5.430469592954186,19,4.777777777777778,2.0,active
54.9,1.7,6,1.8888888888888888,2.0,active
51.7,10.315522284402277,36,9.333333333333334,2.0,active
50.2,9.836666101886351,35,8.777777777777779,2.0,active
48.0,11.593101396951552,38,8.222222222222221,2.0,active
44.5,12.7455874717488,38,15.444444444444445,2.0,active
55.1,23.99770822391172,85,21.666666666666668,2.0,active
50.8,27.863237428554495,103,28.555555555555557,2.0,active
31.2,16.454786537661313,40,11.444444444444445,2.0,active
32.3,16.917742166140254,36,20.11111111111111,2.0,active
42.5,16.268066879626478,37,24.0,2.0,active
50.5,11.244998888394788,40,8.88888888888889,2.0,active
51.6,11.253443917308159,39,9.222222222222221,2.0,active
48.6,15.583324420674812,42,17.88888888888889,2.0,active
47.6,15.41557653803451,42,18.0,2.0,active
42.8,16.4851448279959,38,20.555555555555557,2.0,active
42.6,16.347476869535555,38,20.444444444444443,2.0,active
49.5,10.846658471621572,37,8.555555555555555,2.0,active
53.0,0.4472135954999579,2,0.4444444444444444,2.0,active
52.9,0.3,1,0.2222222222222222,2.0,active
45.9,14.208800090085019,37,12.11111111111111,2.0,active
35.9,17.941293152947477,39,28.88888888888889,2.0,active
43.3,16.377118183612158,39,16.666666666666668,2.0,active
53.7,1.1874342087037917,4,1.1111111111111112,2.0,active
53.7,1.268857754044952,4,1.3333333333333333,2.0,active
53.6,0.66332495807108,2,0.5555555555555556,2.0,active
53.3,0.45825756949558394,1,0.2222222222222222,2.0,active
52.9,0.3,1,0.1111111111111111,2.0,active
52.9,0.3,1,0.2222222222222222,2.0,active
54.0,1.3416407864998738,3,0.3333333333333333,2.0,active
56.9,2.5079872407968904,8,1.0,2.0,active
